player in NPB,G_NPB,PA_NPB,AB_NPB,R_NPB,H_NPB,2B_NPB,3B_NPB,HR_NPB,RBI_NPB,SB_NPB,CS_NPB,BB_NPB,SO_NPB,BA_NPB,OBP_NPB,SLG_NPB,OPS_NPB,TB_NPB,GDP_NPB,HBP_NPB,SH_NPB,SF_NPB,IBB_NPB,HitperABNPB,TwoBaseHitABNPB,ThreeBaseHitABNPB,HRperABNPB,StolenBasePercentageNPB,BaseOnBallPercentageNPB,StrikeoutPercentageNPB
Jose Lopez,993,3924,3657,430,1001,200,2,198,588,3,2,205,561,0.27399999999999997,0.314,0.49200000000000005,0.8059999999999999,1799,105,22,8,32,12.0,0.27372162975116215,0.05468963631391851,0.0005468963631391851,0.054142739950779326,0.0012897678417884782,0.05605687722176648,0.15340442986054142
Alexis Gomez,51,136,127,9,31,1,0,3,13,1,0,8,23,0.244,0.287,0.32299999999999995,0.61,41,8,0,0,1,0.0,0.2440944881889764,0.007874015748031496,0.0,0.023622047244094488,0.0004299226139294927,0.06299212598425197,0.18110236220472442
Anderson Hernandez,288,1107,1010,113,266,53,3,21,116,8,5,71,225,0.263,0.31,0.384,0.6940000000000001,388,23,1,17,8,1.0,0.2633663366336634,0.05247524752475247,0.0029702970297029703,0.020792079207920793,0.0034393809114359416,0.0702970297029703,0.22277227722772278
Mauro Gomez,426,1775,1559,188,421,79,2,65,260,3,2,187,430,0.27,0.353,0.44799999999999995,0.802,699,46,19,0,10,4.0,0.27004490057729313,0.05067350865939705,0.0012828736369467607,0.04169339320076972,0.0012897678417884782,0.11994868505452214,0.2758178319435536
Jesus Guzman,78,287,251,30,63,12,2,10,33,3,1,32,62,0.251,0.341,0.434,0.7759999999999999,109,5,3,0,1,0.0,0.250996015936255,0.04780876494023904,0.00796812749003984,0.0398406374501992,0.0012897678417884782,0.12749003984063745,0.24701195219123506
Nate Schierholtz,87,333,308,40,86,16,1,14,40,3,3,21,82,0.27899999999999997,0.33299999999999996,0.474,0.807,146,1,4,0,0,0.0,0.2792207792207792,0.05194805194805195,0.003246753246753247,0.045454545454545456,0.0012897678417884782,0.06818181818181818,0.2662337662337662
Alex Castellanos,19,61,55,8,11,3,0,1,7,1,0,5,27,0.2,0.262,0.309,0.5710000000000001,17,0,0,0,1,0.0,0.2,0.05454545454545454,0.0,0.01818181818181818,0.0004299226139294927,0.09090909090909091,0.4909090909090909
Juan Francsico,27,101,91,12,25,3,0,5,23,0,0,9,40,0.275,0.34700000000000003,0.473,0.8190000000000001,43,0,1,0,0,0.0,0.27472527472527475,0.03296703296703297,0.0,0.054945054945054944,0.0,0.0989010989010989,0.43956043956043955
Dayan Viciedo,696,2896,2584,342,761,143,3,117,454,14,9,228,367,0.295,0.361,0.488,0.8490000000000001,1261,97,57,0,27,24.0,0.2945046439628483,0.055340557275541796,0.0011609907120743034,0.045278637770897835,0.0060189165950128975,0.08823529411764706,0.14202786377708979
Matt Hague,65,250,213,22,61,12,0,4,23,1,1,31,29,0.28600000000000003,0.384,0.39899999999999997,0.7829999999999999,85,7,4,0,2,,0.2863849765258216,0.056338028169014086,0.0,0.018779342723004695,0.0004299226139294927,0.14553990610328638,0.13615023474178403
Elian Herrera,104,336,313,39,70,13,2,6,34,2,1,19,79,0.22399999999999998,0.27,0.335,0.606,105,5,1,3,0,0.0,0.22364217252396165,0.04153354632587859,0.006389776357827476,0.019169329073482427,0.0008598452278589854,0.06070287539936102,0.2523961661341853
Garrett Jones,192,692,619,83,162,30,1,39,116,2,1,67,150,0.262,0.33799999999999997,0.502,0.841,311,13,5,0,1,0.0,0.2617124394184168,0.048465266558966075,0.0016155088852988692,0.0630048465266559,0.0008598452278589854,0.10823909531502424,0.24232633279483037
Alex Guerrero,313,1166,1043,134,269,55,5,71,180,4,3,93,219,0.258,0.332,0.524,0.857,547,26,25,1,4,2.0,0.2579098753595398,0.052732502396931925,0.004793863854266539,0.06807286673058485,0.0017196904557179708,0.08916586768935762,0.2099712368168744
Eric Campbell,95,337,271,45,77,21,0,5,36,4,0,62,61,0.284,0.415,0.41700000000000004,0.8320000000000001,113,12,1,0,3,0.0,0.28413284132841327,0.07749077490774908,0.0,0.01845018450184502,0.0017196904557179708,0.22878228782287824,0.22509225092250923
Jason Rogers,40,140,123,15,31,7,0,5,23,0,0,15,26,0.252,0.32899999999999996,0.431,0.759,53,6,0,0,2,0.0,0.25203252032520324,0.056910569105691054,0.0,0.04065040650406504,0.0,0.12195121951219512,0.21138211382113822
Carlos Rivero,56,217,208,13,44,10,0,7,22,0,0,8,53,0.212,0.24,0.361,0.6,75,5,0,0,1,1.0,0.21153846153846154,0.04807692307692308,0.0,0.03365384615384615,0.0,0.038461538461538464,0.2548076923076923
Casey McGehee,415,1723,1535,210,457,106,1,67,254,8,4,169,318,0.298,0.366,0.499,0.865,766,44,4,0,15,8.0,0.2977198697068404,0.06905537459283388,0.0006514657980456026,0.04364820846905537,0.0034393809114359416,0.11009771986970684,0.20716612377850163
Zoilo Almonte,243,967,876,107,277,54,0,31,131,2,2,82,174,0.316,0.375,0.484,0.8590000000000001,424,31,4,0,5,4.0,0.3162100456621005,0.06164383561643835,0.0,0.03538812785388128,0.0008598452278589854,0.09360730593607305,0.19863013698630136
Steven Moya,240,815,766,68,191,26,3,34,119,0,1,41,184,0.249,0.29,0.424,0.7140000000000001,325,24,4,0,4,4.0,0.24934725848563968,0.033942558746736295,0.0039164490861618795,0.044386422976501305,0.0,0.05352480417754569,0.2402088772845953
Efren Navarro,81,270,246,19,65,13,0,3,27,0,0,22,64,0.264,0.326,0.354,0.68,87,7,1,0,1,0.0,0.26422764227642276,0.052845528455284556,0.0,0.012195121951219513,0.0,0.08943089430894309,0.2601626016260163
