player in MLB,G_MLB,PA_MLB,AB_MLB,R_MLB,H_MLB,2B_MLB,3B_MLB,HR_MLB,RBI_MLB,SB_MLB,CS_MLB,BB_MLB,SO_MLB,BA_MLB,OBP_MLB,SLG_MLB,OPS_MLB,TB_MLB,GDP_MLB,HBP_MLB,SH_MLB,SF_MLB,IBB_MLB,HitperABMLB,TwoBaseHitABMLB,ThreeBaseHitABMLB,HRperABMLB,StolenBasePercentageMLB,BaseOnBallPercentageMLB,StrikeoutPercentageMLB
Brent Morel,220,717,662,72,150,26,1,13,59,12,6,40,132,0.22699999999999998,0.273,0.32799999999999996,0.601,217,15,3,10,2,1.0,0.22658610271903323,0.03927492447129909,0.0015105740181268882,0.019637462235649546,0.003156233561283535,0.06042296072507553,0.19939577039274925
Carlos Peguero,103,319,289,29,56,10,3,13,37,3,1,24,126,0.19399999999999998,0.263,0.384,0.647,111,1,4,0,2,3.0,0.19377162629757785,0.03460207612456748,0.010380622837370242,0.04498269896193772,0.0007890583903208837,0.08304498269896193,0.4359861591695502
Matt Duffy,11,12,11,0,3,1,0,0,3,0,0,1,4,0.273,0.33299999999999996,0.364,0.6970000000000001,4,0,0,0,0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.36363636363636365
Jimmy Paredes,332,1012,951,104,239,42,5,20,100,19,14,49,287,0.251,0.28600000000000003,0.369,0.6559999999999999,351,13,1,3,8,0.0,0.2513144058885384,0.04416403785488959,0.005257623554153523,0.02103049421661409,0.004997369805365597,0.05152471083070452,0.3017875920084122
Chris Marrero,54,174,163,8,34,5,0,1,16,0,0,6,40,0.209,0.23600000000000002,0.258,0.493,42,5,1,0,4,0.0,0.2085889570552147,0.03067484662576687,0.0,0.006134969325153374,0.0,0.03680981595092025,0.24539877300613497
Matt Dominguez,362,1369,1272,123,294,48,2,42,152,0,2,66,249,0.231,0.273,0.371,0.644,472,46,13,4,14,4.0,0.23113207547169812,0.03773584905660377,0.0015723270440251573,0.0330188679245283,0.0,0.05188679245283019,0.1957547169811321
Oswaldo Arcia,288,1075,983,103,231,40,6,44,131,3,5,76,339,0.235,0.298,0.42200000000000004,0.72,415,13,13,0,3,8.0,0.23499491353001017,0.04069175991861648,0.006103763987792472,0.044760935910478125,0.0007890583903208837,0.07731434384537131,0.34486266531027465
Stefen Romero,94,233,215,26,42,8,2,4,17,0,4,8,58,0.195,0.242,0.307,0.5489999999999999,66,5,6,2,2,0.0,0.19534883720930232,0.037209302325581395,0.009302325581395349,0.018604651162790697,0.0,0.037209302325581395,0.26976744186046514
O'koyea Dickson,7,9,7,0,1,0,0,0,0,0,0,2,2,0.14300000000000002,0.33299999999999996,0.14300000000000002,0.47600000000000003,1,0,0,0,0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857
Leonys Martin,611,2238,1916,241,466,92,2,79,259,4,10,255,399,0.243,0.336,0.41700000000000004,0.753,799,42,25,17,25,6.0,0.24321503131524008,0.04801670146137787,0.0010438413361169101,0.04123173277661795,0.0010520778537611783,0.13308977035490605,0.2082463465553236
Kenny Vargas,236,859,783,104,197,38,1,35,116,0,0,65,251,0.252,0.311,0.43700000000000006,0.748,342,24,5,0,6,4.0,0.2515964240102171,0.04853128991060025,0.001277139208173691,0.04469987228607918,0.0,0.08301404853128991,0.3205619412515964
Jabari Blash,123,324,274,35,51,9,0,8,22,4,3,44,124,0.18600000000000003,0.306,0.307,0.612,84,8,4,0,2,0.0,0.18613138686131386,0.032846715328467155,0.0,0.029197080291970802,0.0010520778537611783,0.16058394160583941,0.45255474452554745
Adam Jones,1823,7515,7009,963,1939,336,29,282,945,97,35,340,1395,0.27699999999999997,0.317,0.45399999999999996,0.7709999999999999,3179,190,103,8,55,20.0,0.2766443144528463,0.047938364959337995,0.004137537451847625,0.04023398487658725,0.025512887953708575,0.04850905978028249,0.19902981880439435
Cory Spangenberg,419,1379,1250,154,320,49,15,29,119,34,10,99,374,0.256,0.315,0.389,0.7040000000000001,486,14,10,16,4,3.0,0.256,0.0392,0.012,0.0232,0.008942661756970016,0.0792,0.2992
Leo Gomez,611,2238,1916,241,466,92,2,79,259,4,10,255,399,0.243,0.336,0.41700000000000004,0.753,799,42,25,17,25,6.0,0.24321503131524008,0.04801670146137787,0.0010438413361169101,0.04123173277661795,0.0010520778537611783,0.13308977035490605,0.2082463465553236
Dave Nilsson,837,3153,2779,389,789,157,10,105,470,15,18,320,424,0.284,0.35600000000000004,0.461,0.8170000000000001,1281,57,10,12,32,40.0,0.283915077365959,0.05649514213745952,0.0035984166966534724,0.037783375314861464,0.003945291951604419,0.11514933429291112,0.15257286793810723
Howard Battle,29,43,37,5,9,0,0,1,5,1,0,6,13,0.243,0.349,0.324,0.6729999999999999,12,1,0,0,0,0.0,0.24324324324324326,0.0,0.0,0.02702702702702703,0.0002630194634402946,0.16216216216216217,0.35135135135135137
